"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
16417,0,0.311,0,1,1,0.463134422704136
16418,0,0.377,0,1,1,0.484877413483146
16419,0,0.423,0,1,1,0.494282626960846
16420,0,0.49,0,1,1,0.50015012761185
16421,0,0.49,0,1,1,0.50015012761185
16422,0,0.461,0,1,1,0.49872610491905
16423,0,0.449,0,1,1,0.497641082153239
16424,0,0.381,0,1,1,0.485875575713654
16425,0,0.334,0,1,1,0.47187568984497
16426,0,0.257,0,1,1,0.437198058255228
16427,0,0.25,0,1,1,0.433229370758364
16428,0,0.267,0,1,1,0.44261372200476
16429,0,0.249,0,1,1,0.432650189166937
16430,0,0.208,0,1,1,0.406079919351968
16431,0,0.183,0,1,1,0.386860001370859
16432,0,0.139,0,1,1,0.346119630761965
16433,0,0.11,0,1,1,0.313046319253234
16434,0,0.089,0,1,1,0.284886223184204
16435,0,0.07,0,1,1,0.255274685711618
16436,0,0.054,0,1,1,0.226130792098589
16437,0,0.041,0,1,1,0.198389410902796
16438,0,0.042,0,1,1,0.200689502157627
16439,0,0.047,0,1,1,0.211744742168102
16440,0,0.088,0,1,1,0.283436653127884
16441,0,0.215,0,1,1,0.41102791139282
16482,0,0.3,0,1,1,0.458486870270251
16484,1,0.567,0,1,1,0.495738597202958
16485,1,0.634,0,1,1,0.481950491519903
16486,1,0.682,0,1,1,0.465932498429862
16487,1,0.668,0,1,1,0.471166635064494
16488,0,0.441,0,1,1,0.496755237280661
16489,0,0.355,0,1,1,0.478752758952055
16490,0,0.309,0,1,1,0.462312375707954
16491,0,0.227,0,1,1,0.41910219117376
16492,0,0.218,0,1,1,0.413093992508541
16493,0,0.213,0,1,1,0.409632516774241
16494,0,0.208,0,1,1,0.406079919351968
16495,0,0.215,0,1,1,0.41102791139282
16496,0,0.254,0,1,1,0.43551541152257
16497,0,0.269,0,1,1,0.443661848524116
16498,0,0.326,0,1,1,0.468981816218864
16499,0,0.357,0,1,1,0.479354546010342
16500,0,0.414,0,1,1,0.492794933868893
16501,0,0.479,0,1,1,0.499808772240753
16502,1,0.546,0,1,1,0.498128630106855
16503,0,0.471,0,1,1,0.499408058013093
16504,0,0.449,0,1,1,0.497641082153239
16505,0,0.436,0,1,1,0.496135213576047
16506,0,0.384,0,1,1,0.486601254397048
16507,0,0.307,0,1,1,0.461480188051409
16508,0,0.292,0,1,1,0.454909818472786
16509,0,0.294,0,1,1,0.455819889618445
16510,0,0.276,0,1,1,0.447240454368815
16511,0,0.271,0,1,1,0.444698500960771
16512,0,0.218,0,1,1,0.413093992508541
16513,0,0.19,0,1,1,0.392497202606661
16514,0,0.154,0,1,1,0.36112935966827
