HID,Folds,BIO08_Mean,TXX_IDW1N10,BIO02_Mean,TN90P_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
60319,5,0.985661,38.413273,12.2412893,11.522253,9.936421,3.653497,26.293816,10.512896,26.223095,10.257234,0
60320,5,9.6156481,38.37258,11.5640415,11.569516,9.475287,8.478876,53.386681,11.685661,27.098025,9.335241,0
60321,5,-0.7862711,37.888936,10.5707262,11.720348,8.480954,20.666556,94.887605,12.582227,28.929964,8.307995,0
60322,4,4.4968586,36.496715,9.945226700000001,11.957054,5.500562,38.616514,128.59303,12.51112,29.767822,6.896841,0
60379,5,21.0599391,44.512017,15.3208316,10.633261,0.0,0.01641,1.016232,5.903986,19.95698,5.539,0
60380,5,19.039319900000002,44.285417,15.919949399999998,10.631901,0.0,0.021803,0.824966,5.269221,18.868893,5.791975,0
60381,5,20.9289514,44.624524,15.4210056,10.618444,0.0,0.0,0.635044,4.974888,17.662233,6.153903,0
60382,5,17.6286162,44.890866,14.421436700000001,10.669378,0.0,0.0,0.350383,4.662066,16.358056,7.453693,0
60383,5,13.5075998,44.285618,14.0932724,10.785298,0.0,0.000891,0.953098,4.325975,15.652022,7.922983,0
60384,5,13.0787688,43.899792,13.8963281,10.951182,0.002544,0.0,0.309638,4.046465,15.009252,8.200227,0
60385,5,12.2744128,44.175187,14.184535399999998,11.130373,0.002345,0.0,0.0,3.825519,14.17747,8.086602,0
60386,5,13.277623199999999,44.557091,14.682314199999999,11.339223,0.001018,0.0,0.0,3.679363,13.041102,7.83074,0
60387,5,12.493072100000001,44.69424,14.976384999999999,11.523084,0.00147,0.0,0.0,3.547075,11.854762,7.621891,0
60388,5,10.1843893,44.808297,15.0973024,11.710694,0.00352,0.0,0.0,3.650926,11.336955,7.820955,0
60389,5,8.9104165,44.810677,14.5946119,11.810734,0.013282,0.0,0.0,3.91055,11.35621,8.027231,0
60390,5,8.927126900000001,44.097789,14.5310304,11.884142,0.014467,0.0,0.0,4.595494,12.833747,8.689659,0
60391,5,8.6249075,44.528791,13.468266499999999,11.698807,0.011984,0.0,0.0,5.410032,15.377925,9.047642,0
60392,5,6.6999376,41.361197,11.0753153,11.778492,0.037287,0.06552,0.948157,6.169974,18.04289,8.874017,0
60393,5,7.7508581,38.466291,9.1842703,11.880961,0.008968,0.877727,7.36965,6.745102,20.794874,8.918419,0
60397,5,0.267395,39.463262,10.9729677,11.68724,2.343407,7.887861,49.14139,8.366555,30.491784,10.622868,0
60398,5,9.782333,38.956347,13.459588400000001,11.620264,6.825982,4.534815,34.77603,9.198272,27.502815,10.765326,0
60399,5,4.288039700000001,38.545662,12.919143700000001,11.54566,9.490574,4.242919,31.312221,10.153272,26.34126,10.540985,0
60400,5,5.3201951,38.32087,11.2555664,11.499258,10.966579,5.671889,44.167609,11.319034,26.15223,9.748103,0
60401,4,1.3821652,38.17043,11.7016688,11.604145,9.984921,13.517943,70.191304,12.570885,28.141549,8.734151,0
60402,4,-0.358692,37.215819,10.1305966,11.914888,7.431467,29.867991,120.956094,13.285166,29.91192,7.307447,0
60403,4,6.6361714,33.699834,10.0516632,12.171499,2.673605,51.077829,171.208385,11.655707,28.279551,6.301516,0
60460,5,23.7781759,44.633222,15.229378299999999,10.664129,0.0,0.213527,3.346272,6.372803,20.881522,5.495932,0
60461,5,21.8765185,44.770109,15.977958699999999,10.64601,0.0,0.0,1.148867,5.755662,20.340394,6.101202,0
60462,5,21.871496,44.818614,16.4316031,10.633122,0.0,0.000301,0.587579,5.317875,18.769992,6.42509,0
60463,5,20.032985099999998,44.875421,15.425738200000001,10.65512,0.0,0.0,1.023684,4.881577,17.121909,6.983537,0
60464,5,14.278346199999998,44.60022,14.626779199999998,10.722794,0.0,0.0,1.051776,4.542526,15.933257,7.782714,0
60465,5,13.209226699999999,43.104078,14.171334300000002,10.906911,0.00071,0.0,0.858132,3.96516,14.779538,8.52447,0
60466,5,13.1088347,43.748698,14.0589251,10.998513,0.002661,0.0,0.0,3.934123,14.534686,7.979024,0
60467,5,11.6766891,44.165074,14.3451743,11.224337,0.0,0.0,0.0,3.776955,14.000182,7.720648,0
60468,5,16.4185539,44.501879,14.648703699999999,11.450555,0.001343,0.0,0.0,3.648824,12.50553,7.701493,0
60469,5,13.5102511,44.752642,14.8234843,11.602388,0.002573,0.0,0.0,3.586643,11.639314,7.684148,0
60470,5,10.810295700000001,44.849745,14.7672271,11.788236,0.0133,0.0,0.0,3.751797,11.160594,8.020117,0
60471,5,10.1865881,44.479569,14.6892016,11.882751,0.033226,0.0,0.0,4.245049,11.961374,8.477334,0
60472,5,7.653403900000001,43.78347,13.6354224,11.821098,0.055676,0.0,0.0,5.004287,13.793217,8.711729,0
60473,5,8.2351714,42.719626,14.2757916,11.7668,0.051793,0.0,0.0,5.763856,16.45238,8.904421,0
60474,5,4.0597863,41.096482,11.0769252,11.772428,0.041552,0.147871,1.963323,6.386452,19.033874,8.954088,0
60478,5,9.9855906,39.076257,9.6139066,11.758185,1.62002,6.055393,27.47297,8.032125,30.220751,10.110717,0
60479,5,8.320970599999999,39.217902,12.2989763,11.687403,5.892707,5.797455,41.108615,9.04527,30.655789,10.743733,0
60480,5,9.4041421,38.738025,12.7630279,11.596724,9.342366,5.114108,40.201557,9.835874,28.057917,10.801442,0
60481,5,2.3294845,38.422964,11.6580345,11.543573,11.26212,4.64141,43.056125,10.919196,25.655179,10.170656,0
60482,4,9.6867354,38.163066,11.3832246,11.48167,11.77161,8.748544,58.17319,12.320166,27.116829,9.198334,0
60483,4,1.0402167,37.623929,10.6461788,11.764795,8.144422,21.47735,102.018277,12.888998,28.739239,7.617938,0
60484,4,2.749478,35.166118,10.4410437,12.046452,4.775982,38.343666,137.736372,12.290968,28.644102,6.776673,0
60541,5,25.5483908,43.883462,14.9735874,10.67139,0.0,0.00061,2.216887,6.605729,21.607241,5.894413,0
