HID,Folds,BIO03_Mean,TN10P_IDW1N10,GSL_IDW1N10,TNX_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
78713,7,55.682274,10.453952,365.0,25.805327,0.0,3.693187,264.574084,41.265679,66.934096,8.7949,1
78714,7,54.797161,10.344226,365.0,25.796152,0.0,3.783094,345.644598,39.386155,68.937932,8.86536,1
78715,7,53.997471,10.263979,365.0,25.529484,0.0,4.455861,396.301998,38.522395,70.479949,8.539929,1
78716,7,53.257985,10.418128,364.993753,24.757344,0.0,5.409184,426.299771,38.342909,72.568692,7.693187,1
78717,7,53.545365,10.500483,364.944729,23.617676,0.0,8.766993,421.169424,38.869127,73.596612,6.987764,1
78718,7,54.193339,10.554028,364.855853,22.860166,0.0,9.702642,452.254858,37.900626,73.245785,6.689563,1
78719,4,54.153742,10.40289,364.211688,22.103859,0.002683,6.453713,707.735824,34.896636,71.480364,6.626784,1
78720,4,53.749887,10.260128,363.285464,21.533932,0.005094,10.320492,691.581584,31.702943,68.845909,6.612425,1
78721,4,52.378202,10.06598,361.256604,20.766806,0.019055,16.377996,646.112819,28.792009,64.817864,6.362357,1
78722,4,50.726707,9.975931,359.370693,20.025726,0.038116,13.734923,820.714725,29.590272,62.027474,5.86009,1
78723,4,49.600657,9.963853,356.322613,19.061125,0.089908,13.706885,694.211142,31.667249,60.456448,5.227514,1
78724,4,48.898662,9.991322,345.34864,17.914927,0.304261,12.947055,581.090087,32.369411,56.954987,4.675673,1
78725,4,48.479301,10.074711,324.685509,16.732383,0.81309,11.265345,567.243674,31.926075,53.522979,4.153449,1
78726,4,48.466894,10.159018,301.851586,15.789035,1.527462,7.945505,590.80021,29.314101,50.633303,3.599781,0
78727,4,48.605997,10.316256,274.192382,14.841138,3.160483,4.340768,618.745083,28.98144,50.588346,3.192601,0
78728,4,48.6307,10.269667,241.057231,13.468701,11.682681,3.1728,593.124359,27.972745,56.440714,2.764473,0
78742,7,34.877641,10.270357,115.246084,11.430123,149.6471,2.767491,110.119319,9.579934,26.593695,3.40106,0
78822,10,34.978169,10.355616,107.23182,10.553936,158.660532,3.78626,148.560731,9.904698,27.871907,3.295831,0
78823,10,34.047252,10.233204,122.826481,11.890492,149.20581,2.0,94.182831,8.683355,25.20877,3.730142,0
78904,10,34.201443,10.313329,114.704594,10.95202,156.483826,2.73456,120.651267,8.737748,26.477342,3.768175,0
79382,10,37.74689,9.931628,221.876914,17.863606,24.180349,6.721617,502.992928,37.018252,85.455616,2.194248,0
79388,10,36.480147,10.389183,111.272526,9.642605,138.332782,1.000267,203.253365,11.110642,38.236427,2.263227,0
79463,10,28.59809,9.887776,245.4975,19.813185,13.882785,7.915214,611.999473,33.090582,84.05256,2.648088,0
79469,10,37.295759,10.362536,121.453327,10.135967,128.652075,1.17646,233.701112,11.675353,41.087957,1.966372,0
79544,10,34.33417,9.872506,228.17466,18.630834,19.847755,6.794101,524.112467,35.818103,88.119188,2.13369,0
79625,10,26.472399,9.775532,251.769422,20.786127,12.757528,6.076678,560.815438,29.584983,79.016997,3.217524,0
79626,10,35.158198,9.871468,218.485244,18.223192,24.949533,4.853828,457.840047,30.781976,79.581472,2.231946,0
