HID,CDD_present,CDD_future,outlier_marker
109491,447.19434,687.186843,pf
109492,458.925849,704.123862,pf
109493,444.431209,647.360766,pf
109494,414.537807,539.800023,pf
109495,391.545544,458.478714,pf
109496,364.676957,390.924005,f
109497,361.760005,370.577751,f
109567,270.914701,392.944125,f
109568,316.970148,487.274979,f
109569,366.549266,572.477036,pf
109570,390.76982,601.819112,pf
109571,429.377086,617.587462,pf
109572,447.348492,663.455569,pf
109573,472.899425,724.291912,pf
109574,496.304996,745.981265,pf
109575,468.177116,663.852089,pf
109576,446.757324,577.287905,pf
109577,419.325252,503.961659,pf
109578,386.341013,401.068726,pf
109579,371.750556,370.368183,pf
109649,295.88255,432.401921,f
109650,325.630294,498.749653,f
109651,376.850681,585.089906,pf
109652,411.556362,601.108227,pf
109653,434.872681,640.022791,pf
109654,479.872077,732.693467,pf
109655,501.407045,732.549638,pf
109656,476.820438,755.72945,pf
109657,503.63966,698.837885,pf
109658,441.075558,552.750176,pf
109659,417.838716,457.984627,pf
109660,387.265144,387.194183,pf
109661,381.217827,364.745689,p
109729,265.687332,378.581033,f
109730,301.765534,445.436682,f
109731,360.937607,557.630262,f
109732,391.536393,588.671488,pf
109733,428.782908,619.790731,pf
109734,469.808896,674.438311,pf
109735,489.129157,725.214964,pf
109736,523.335435,762.734214,pf
109737,519.678577,759.852547,pf
109738,489.579192,661.1013,pf
109739,453.213682,549.693795,pf
109740,447.728754,529.833444,pf
109741,415.723052,392.498043,pf
109742,394.316008,374.381726,pf
109743,395.269559,374.81694,pf
109811,285.018685,408.348142,f
109812,335.631409,512.43277,f
109813,364.500532,553.502786,f
109814,407.9589,606.192214,pf
109815,448.537121,638.032873,pf
109816,491.460692,702.34821,pf
109817,567.97277,813.485659,pf
109818,556.075528,815.236209,pf
109819,566.258035,853.528065,pf
109820,523.880855,708.581071,pf
109821,480.80932,615.663005,pf
109822,463.475904,516.745744,pf
109823,412.485266,390.47743,pf
109824,413.18411,389.763045,pf
109825,379.397877,360.031928,p
109892,259.433015,369.03616,f
109893,289.143395,418.258349,f
109894,339.477923,507.572328,f
109895,382.735543,571.575171,pf
109896,421.788671,622.843311,pf
109897,478.377133,667.551106,pf
109898,512.915899,718.946323,pf
109899,577.58225,777.460073,pf
109900,609.097388,896.353024,pf
109901,554.572976,813.86425,pf
109902,494.233329,655.541244,pf
109903,482.938929,581.394475,pf
109904,474.977404,499.405652,pf
109905,442.039424,411.856789,pf
109906,429.394778,406.526468,pf
109907,388.579598,370.880221,pf
109973,265.286355,376.843681,f
109974,321.763114,471.548817,f
109975,356.97525,538.523738,f
109976,398.481575,598.576313,pf
109977,454.498169,638.368233,pf
109978,493.523792,676.809977,pf
109979,575.835242,786.229997,pf
109980,607.71001,871.166026,pf
109981,611.827077,940.686538,pf
109982,575.013442,829.317555,pf
109983,524.78206,715.090013,pf
109984,515.595851,565.124602,pf
109985,506.12059,510.873432,pf
109986,453.377935,424.477612,pf
109987,464.619513,441.235374,pf
109988,398.444616,388.31539,pf
110055,298.007594,426.948106,f
110056,326.738285,481.319436,f
110057,370.748588,548.359701,pf
110058,413.102352,592.312568,pf
110059,476.464066,649.176532,pf
110060,579.250159,767.902756,pf
110061,609.933087,839.120663,pf
110062,673.518255,996.310708,pf
110063,642.123542,1012.460987,pf
110064,548.996337,771.471717,pf
110065,566.406433,712.44152,pf
110066,502.287741,537.944245,pf
110067,528.850941,486.715759,pf
110068,493.087604,469.543337,pf
110069,466.816294,442.613418,pf
110070,392.696807,385.176685,pf
110137,301.923618,425.407878,f
110138,341.837936,502.052542,f
110139,386.679482,564.123745,pf
110140,440.545758,589.800435,pf
110141,497.407945,669.307894,pf
110142,612.322771,761.311686,pf
110143,669.136218,974.946212,pf
110144,662.548209,1010.576471,pf
110145,656.209246,992.427719,pf
110146,593.929388,889.739728,pf
110147,567.933128,685.02295,pf
110148,567.379418,563.325192,pf
110149,576.23845,534.339253,pf
110150,498.639759,473.794818,pf
110151,463.702361,440.249426,pf
110152,450.550001,441.658386,pf
110217,285.124424,393.51077,f
110218,318.934135,458.504305,f
110219,355.754723,547.528978,f
110220,410.407286,577.422567,pf
110221,460.165704,629.526124,pf
110222,560.29555,731.283539,pf
110223,643.275122,900.486774,pf
110224,712.288567,1042.150225,pf
110225,696.568661,1130.718527,pf
110226,649.488576,991.321567,pf
110227,615.773054,882.990081,pf
110228,642.952043,740.571202,pf
110229,571.014871,523.582013,pf
110230,563.87044,530.816893,pf
110231,573.820792,567.006188,pf
110232,482.572778,470.316633,pf
110233,404.227002,397.689579,pf
110299,290.014786,400.786128,f
110300,336.568191,481.05884,f
110301,365.211259,518.512401,pf
110302,431.946194,585.421192,pf
110303,530.678544,707.756388,pf
110304,598.407563,772.105974,pf
110305,703.201608,1015.853665,pf
110306,730.950564,1139.351589,pf
110307,688.37735,1104.812546,pf
110308,642.630852,985.139965,pf
110309,639.643746,855.488096,pf
110310,615.894789,621.173555,pf
110311,667.259001,631.81065,pf
110312,613.894026,603.252215,pf
110313,561.248908,544.614881,pf
110314,491.020857,475.506603,pf
110315,448.196981,431.628709,pf
110381,313.284199,427.9983,f
110382,347.51851,487.525402,f
110383,398.20198,558.483281,pf
110384,446.646758,601.972368,pf
110385,550.536414,748.887896,pf
110386,658.593693,902.388852,pf
110387,716.137576,1056.465492,pf
110388,741.980003,1290.812762,pf
110389,714.898932,1234.434002,pf
110390,670.403142,1125.572395,pf
110391,689.136557,786.324184,pf
110392,697.291904,686.94114,pf
110393,683.544998,652.680183,pf
110394,649.522337,645.913448,pf
110395,578.651536,582.43219,pf
110396,499.616452,469.247428,pf
110397,397.640634,383.537586,pf
110461,281.253138,384.886825,f
110462,327.316408,432.159117,f
110463,363.52118,494.263685,f
110464,406.302219,561.737083,pf
110465,512.725603,690.288035,pf
110466,586.602337,777.273614,pf
110467,726.424665,1052.253294,pf
110468,759.03369,1274.435269,pf
110469,748.784349,1329.222196,pf
110470,727.475392,1244.710498,pf
